chrom,MEG n.assays,MEG n.sites,MEG n.sites.overlap,MEG n.sites.overlap.maf,MEAMR n.assays,MEAMR n.sites,MEAMR n.sites.overlap,MEAMR n.sites.overlap.maf,MEEUR n.assays,MEEUR n.sites,MEEUR n.sites.overlap,MEEUR n.sites.overlap.maf,HC n.assays,HC n.sites,HC n.sites.overlap,HC n.sites.overlap.maf,OMEXP n.assays,OMEXP n.sites,OMEXP n.sites.overlap,OMEXP n.sites.overlap.maf,OM2 n.assays,OM2 n.sites,OM2 n.sites.overlap,OM2 n.sites.overlap.maf,OM5 n.assays,OM5 n.sites,OM5 n.sites.overlap,OM5 n.sites.overlap.maf,AFBB n.assays,AFBB n.sites,AFBB n.sites.overlap,AFBB n.sites.overlap.maf,GSA n.assays,GSA n.sites,GSA n.sites.overlap,GSA n.sites.overlap.maf,PMDA n.sites
1,142920,140619,118012,112787,116113,116113,96139,91156,120366,120366,103553,98482,24555,24553,21115,20912,58185,58184,57423,57346,181550,180723,170195,169864,334568,332604,317738,314503,66492,64945,60123,59040,49579,49529,48305,47188,89942
2,146276,143796,126520,122747,116967,116967,101558,98004,120216,120216,108113,104475,24841,24835,22062,21888,56657,56657,56301,56267,191378,190633,180513,180198,342632,341044,327585,324614,64504,62853,59632,58865,52167,52040,50172,49211,72257
3,122729,120725,106148,103024,98780,98780,85737,82785,101937,101937,91680,88668,20923,20923,18595,18447,46356,46356,46004,45984,161191,160797,151730,151446,302137,301026,288167,284094,55016,53224,49865,49195,43559,43463,42380,41588,52846
4,107036,105406,95156,93012,84916,84916,75435,73406,88630,88630,81984,79909,19077,19073,17314,17217,39703,39703,39469,39452,150725,150283,142054,141816,266159,265191,254581,252538,48992,48453,46750,46392,39712,39698,39369,38885,48025
5,99333,97780,86676,84469,78223,78223,68417,66308,82091,82091,74883,72743,18175,18174,16053,15982,41393,41393,40307,40276,143519,143281,132769,132517,254331,253452,238988,236942,47059,46300,43561,43125,37364,37342,36553,35947,46954
6,111873,109197,98136,95466,90740,90740,79425,76905,95622,95622,86775,84196,19139,19134,17101,16960,47317,47317,46673,46613,151267,150637,141923,141652,288462,285462,274882,271461,56681,55605,53571,53025,44066,44049,43587,42941,49005
7,93054,91624,80287,77890,74573,74573,64334,62069,77433,77433,69555,67261,16492,16487,14863,14752,37354,37354,36899,36850,127050,126618,119668,119382,227102,226062,216271,214271,44572,43772,40798,40294,34949,34870,33927,33374,38627
8,84672,83416,75110,73339,67100,67100,59323,57635,70778,70778,64970,63259,15492,15491,14308,14235,36299,36299,36056,36039,123534,123328,116687,116475,216988,216285,207775,206027,39829,39375,37799,37448,31879,31874,31601,31173,34317
9,72778,71722,62076,60119,58723,58723,50060,48196,61679,61679,54699,52799,12890,12888,11765,11720,32233,32233,32002,31982,101576,101216,96400,96282,186424,185550,178681,176450,35879,35005,33081,32637,26621,26597,26105,25644,50276
10,79900,78722,69635,67597,64199,64199,56003,54063,67698,67698,61392,59435,15072,15071,13738,13665,38371,38371,38102,38084,117700,117448,110895,110703,204423,203635,195067,193440,40026,38894,37025,36564,30742,30720,30335,29861,34204
11,91041,89582,74903,71554,73784,73784,60966,57801,76189,76189,65219,61989,14958,14956,13082,12946,35973,35972,35624,35585,114647,114306,107996,107765,201939,200964,192267,190627,43442,41643,37616,36892,31368,31289,29972,29344,32163
