sample pop super_pop gender batch
HG00096 GBR EUR male 2
HG00097 GBR EUR female 7
HG00099 GBR EUR female 9
HG00100 GBR EUR female 2
HG00101 GBR EUR male 6
HG00102 GBR EUR female 7
HG00103 GBR EUR male 1
HG00105 GBR EUR male 4
HG00106 GBR EUR female 1
HG00107 GBR EUR male 5
HG00108 GBR EUR male 4
HG00109 GBR EUR male 10
HG00110 GBR EUR female 10
HG00111 GBR EUR female 8
HG00112 GBR EUR male 4
HG00113 GBR EUR male 9
HG00114 GBR EUR male 1
HG00115 GBR EUR male 2
HG00116 GBR EUR male 9
HG00117 GBR EUR male 3
HG00118 GBR EUR female 4
HG00119 GBR EUR male 8
HG00120 GBR EUR female 4
HG00121 GBR EUR female 3
HG00122 GBR EUR female 10
HG00123 GBR EUR female 4
HG00125 GBR EUR female 10
HG00126 GBR EUR male 9
HG00127 GBR EUR female 8
HG00128 GBR EUR female 5
HG00129 GBR EUR male 8
HG00130 GBR EUR female 9
HG00131 GBR EUR male 4
HG00132 GBR EUR female 6
HG00133 GBR EUR female 10
HG00136 GBR EUR male 7
HG00137 GBR EUR female 2
HG00138 GBR EUR male 3
HG00139 GBR EUR male 10
HG00140 GBR EUR male 5
HG00141 GBR EUR male 4
HG00142 GBR EUR male 5
HG00143 GBR EUR male 3
HG00145 GBR EUR male 1
HG00146 GBR EUR female 3
HG00148 GBR EUR male 6
HG00149 GBR EUR male 1
HG00150 GBR EUR female 7
HG00151 GBR EUR male 1
HG00154 GBR EUR female 3
HG00155 GBR EUR male 2
HG00157 GBR EUR male 1
HG00158 GBR EUR female 2
HG00159 GBR EUR male 9
HG00160 GBR EUR male 10
HG00171 FIN EUR female 5
HG00173 FIN EUR female 4
HG00174 FIN EUR female 7
HG00176 FIN EUR female 2
HG00177 FIN EUR female 5
HG00178 FIN EUR female 8
HG00179 FIN EUR female 2
HG00180 FIN EUR female 10
HG00181 FIN EUR male 2
HG00182 FIN EUR male 10
HG00183 FIN EUR male 6
HG00185 FIN EUR male 7
HG00186 FIN EUR male 5
HG00187 FIN EUR male 4
HG00188 FIN EUR male 10
HG00189 FIN EUR male 4
HG00190 FIN EUR male 1
HG00231 GBR EUR female 5
HG00232 GBR EUR female 5
HG00233 GBR EUR female 4
HG00234 GBR EUR male 7
HG00235 GBR EUR female 5
HG00236 GBR EUR female 7
HG00237 GBR EUR female 3
HG00238 GBR EUR female 5
HG00239 GBR EUR female 9
HG00240 GBR EUR female 9
HG00242 GBR EUR male 8
HG00243 GBR EUR male 2
HG00244 GBR EUR male 10
HG00245 GBR EUR female 3
HG00246 GBR EUR male 9
HG00250 GBR EUR female 8
HG00251 GBR EUR male 7
HG00252 GBR EUR male 10
HG00253 GBR EUR female 6
HG00254 GBR EUR female 1
HG00255 GBR EUR female 6
HG00256 GBR EUR male 5
HG00257 GBR EUR female 6
HG00258 GBR EUR female 2
HG00259 GBR EUR female 6
HG00260 GBR EUR male 1
HG00261 GBR EUR female 10
HG00262 GBR EUR female 8
HG00263 GBR EUR female 2
HG00264 GBR EUR male 7
HG00265 GBR EUR male 6
HG00266 FIN EUR female 1
HG00267 FIN EUR male 5
HG00268 FIN EUR female 9
HG00269 FIN EUR female 9
HG00271 FIN EUR male 1
